Title,Price,Size,Neighbourhood,City,Date_Posted,Rooms
"Mieszkanie 65 mkw bez bik i krd !
150 000 zł",150000.0,65.0,,Śmigiel,2025-05-06,
"Hit!Przestronna kawalerka!
88 000 zł",88000.0,26.71,,Kalisz,2025-05-06,1
"Syndyk ogłasza konkurs ofert na zakup udziału w lokalu mieszkalnym
145 000 zł",145000.0,60.3,,Kalisz,2025-05-11,
"Bezczynszowa kawalerka nad jeziorem
144 000 zł",144000.0,38.2,,Konin,2025-04-29,1
"Mieszkanie Bolechowo-Osiedle 0% PROWIZJI +Schron
139 000 zł",139000.0,35.79,,Murowana Goślina,2025-04-28,
"Mieszkanie Bolechowo-Osiedle 0% PROWIZJI +Schron
139 000 zł",139000.0,35.79,,Bolechowo Osiedle,2025-04-28,
"Przytulna kawalerka na sprzedaż
149 000 zł",149000.0,19.61,,Piła,2025-05-09,1
"Syndyk sprzeda 1/2 udziału w nieruchomości w Kaliszu
86 000 zł",86000.0,47.8,,Kalisz,2025-05-09,
"Przestronne mieszkanie do remontu
127 000 zł",127000.0,52.0,,Piątek Wielki,2025-05-09,
"Twoje własne mieszkanie, bez kredytu!
84 231 zł",84231.0,39.54,,Leszno,2025-04-18,
"TOP OFERTA | 2 Pokoje + Jasna kuchnia | BALKON | 400m od UAM!
147 000 zł",147000.0,36.94,,Kalisz,2025-05-05,2
"Na sprzedaż mieszkanie w centrum Trzcianki
120 000 zł",120000.0,70.75,,Trzcianka,2025-05-03,
"Kawalerka 15m
83 000 zł",83000.0,15.0,,Jastrowie,2025-04-14,1
"REZERWACJA ! Mieszkanie TBS – partycypacja - Kórnik!
130 000 zł",130000.0,47.23,,Kórnik,2025-04-12,
"* Mieszkanie Segment Żelazno + Budynek Gospodarczy
89 000 zł",89000.0,78.5,,Żelazno,2025-05-09,
"3 pokoje na parterze w spokojnej wsi k. Gołańczy
115 000 zł",115000.0,65.0,,Smogulec,2025-04-23,3
"Na sprzedaż mieszkanie w doskonałej lokalizacji
150 000 zł",150000.0,28.85,,Turek,2025-04-22,
"Sprzedam mieszkanie w bloku 54 m2 Trzebosz
140 000 zł
do negocjacji",140000.0,50.0,,Trzebosz,2025-04-27,
"Twoje mieszkanie, BEZ KREDYTU!
117 612 zł",117612.0,55.21,,Leszno,2025-04-18,
"Mieszkanie do adaptacji w Stare gm. Wysoka
99 999 zł",99999.0,71.64,,Stare,2025-04-24,
"Na sprzedaż- kawalerka do remontu Kleczew
139 000 zł",139000.0,25.4,,Kleczew,2025-05-06,1
"Twoje własne mieszkanie, bez kredytu!
130 394 zł",130394.0,61.21,,Leszno,2025-04-18,
"OSTATNIE - 2pok - centrum
146 000 zł",146000.0,46.0,,Krotoszyn,2025-04-29,2
"Mieszkanie I Działka Blisko Piły!
129 000 zł",129000.0,49.03,,Nowy Dwór,2025-04-24,
"Sprzedam 50% udziałów w mieszkaniu
110 000 zł",110000.0,51.4,,Luboń,,
"Odstąpię od zaraz mieszkanie 70m2 w zasobach TBS Góra w Rawiczu !
67 500 zł",67500.0,70.0,Stare Miasto,Rawicz,2025-04-25,
"Mieszkanie 2-pok., bud. gospod., garaż i ogródek-
144 000 zł",144000.0,54.7,,Lipka,2025-04-18,2
"Duże 2 pokojowe mieszkanie do remontu - 53m2
149 000 zł",149000.0,52.9,,Pleszew,2025-04-13,2
"mieszkanie 42m2 / 1-PIĘTRO:) bezczynszowe
138 000 zł",138000.0,42.0,,Jastrowie,2025-03-13,
"Syndyk sprzeda lokal mieszkalny na starym mieście Lesznie
50 000 zł",50000.0,38.83,,Leszno,,
"Sprzedam mieszkanie 32m2 z garażem
80 000 zł",80000.0,32.42,,Oleśnica,2025-04-15,
"Bardzo ładne mieszkanie w spokojnej wsi
125 000 zł",125000.0,63.0,,Szamarzewo,2025-04-21,
"OSTATNIE mieszkania - 1pok
73 000 zł",73000.0,25.0,,Krotoszyn,2025-04-29,1
"Kawalerka w kamienicy, pow 22,41 m2, Grodzisk Wlkp
145 000 zł",145000.0,22.41,,Grodzisk Wielkopolski,2025-04-15,1
"Mieszkanie na sprzedaż Rataje / Łobżenica
62 000 zł
do negocjacji",62000.0,30.0,,Rataje,2025-04-29,
"Mieszkanie Czarnków
150 000 zł
do negocjacji",150000.0,34.9,,Czarnków,2025-04-21,
"Lokal mieszkalny do remontu
100 000 zł",100000.0,68.0,,Czeluścin,2025-05-05,
"Syndyk sprzeda
80 000 zł",80000.0,49.97,,Turek,2025-04-23,
"Sprzedam mieszkanie do remontu
135 000 zł",135000.0,54.8,,Wyrzysk,2025-04-01,
"Sprzedam mieszkanie 56,6 m²
140 000 zł",140000.0,56.6,,Domaników,2025-04-13,
"Syndyk ogłasza konkurs ofert na zakup udziału w lokalu mieszkalnym
145 000 zł",145000.0,60.3,,Kalisz,2025-05-11,
"Mieszkanie 65 mkw bez bik i krd !
150 000 zł",150000.0,65.0,,Śmigiel,2025-05-06,
"Hit!Przestronna kawalerka!
88 000 zł",88000.0,26.71,,Kalisz,2025-05-06,1
"syndyk sprzeda 1/2 udziału w lokalu w Ujściu
63 000 zł",63000.0,44.0,,Ujście,2025-04-23,
"GARAŻ do sprzedaży przy ul. Rejtana
75 000 zł",75000.0,17.0,,Leszno,2025-03-24,
"Mieszkanie 52 m2 Konradów
70 000 zł",70000.0,52.0,,Konradów,2025-04-17,
"Mieszkanie Kawalerka niski czynsz
140 000 zł",140000.0,27.1,,Wągrowiec,2025-04-25,1
"Mieszkanie 2 pokojowe na sprzedaż, Jastrowie
95 000 zł",95000.0,56.23,,Jastrowie,2025-04-16,2
"Mieszkanie czworak, osobne wejście, bezczynszowe. 2 pokoje, korytarz,
120 000 zł
do negocjacji",120000.0,70.0,,Żbiki,2025-04-15,2
"Mieszkanie Osówiec 54 m2 + budynek gospodarczy
98 000 zł
do negocjacji",98000.0,54.0,,Osówiec,2025-04-27,
"Mieszkanie dwupokojowe Okonek
140 000 zł",140000.0,50.0,,Okonek,2025-05-08,
"Mieszkanie bezczynszowe blisko Piły. Rezerwacja
95 000 zł",95000.0,54.0,,Gądek,2025-05-09,
"Przytulna Kawalerka nad Urokliwym Jeziorem
123 000 zł
do negocjacji",123000.0,29.0,,Wonieść,,1
"Mieszkanie na sprzedaż
150 000 zł",150000.0,54.0,,Stara Łubianka,2025-05-04,
"Mieszkanie na sprzedaż Ujscie
129 000 zł
do negocjacji",129000.0,57.0,,Ujście,2025-05-07,
"Sprzedam mieszkanie
150 000 zł",150000.0,25.74,,Trzcianka,2025-05-05,
"Mieszkanie 65 mkw bez bik i krd !
150 000 zł",150000.0,65.0,,Śmigiel,2025-05-06,
"Mieszkanie 2-pokojowe na oś. Przemysława II
190 000 zł",190000.0,33.0,,Rogoźno,,2
"Sprzedam mieszkanie
199 000 zł",199000.0,36.0,,Pleszew,,
"Sprzedam mieszkanie TBS
180 000 zł",180000.0,46.62,,Kalisz,2025-05-11,
"Złota 71 | mieszkanie 2-pok. | A.1.4
198 499 zł",198499.0,40.51,,Kalisz,2025-05-11,2
"Piekne przestronne mieszkanie
250 000 zł
do negocjacji",250000.0,52.0,,Janiszewo,2025-05-11,
"Złota 71 | mieszkanie 2-pok. | A.4.3
212 477 zł",212477.0,40.09,,Kalisz,2025-05-11,2
"Mieszkanie w trzylokalowym szeregowcu z zagospodarowanym strychem
170 000 zł",170000.0,43.0,,Wyskoć,2025-05-11,
"Słoneczne mieszkanie 2 pokojowe w Rogoźnie
229 000 zł",229000.0,42.42,,Rogoźno,2025-05-05,2
"Okazja 3-pokojowe mieszkanie w Kamienicy!
199 000 zł",199000.0,54.0,,Szamotuły,2025-05-09,3
"Nowa cena - mieszkanie 2 pok. + piwnica gratis !
213 100 zł",213100.0,42.62,,Krzywiń,2025-05-06,2
"Bezczynszowy Energooszczędny dom z ogrodem z miejscem postojowym!
229 000 zł",229000.0,27.0,,Środa Wielkopolska,2025-05-03,
"Przytulne mieszkanie z kominkiem.
199 900 zł",199900.0,44.97,,Poznań,2025-05-05,
"Nowe bezczynszowe gotowe do sprzedaży -marzec 2026
243 508 zł",243508.0,35.81,,Jarocin,2025-04-24,
"Mieszkanie Kowalskie 55 m2, 2 pokoje, ogród, garaż, piwnica
245 000 zł",245000.0,54.9,,Kowalskie,2025-05-11,2
"Sprzedam kawalerkę
170 000 zł",170000.0,28.5,,Wągrowiec,2025-04-26,
"Mieszkanie w Przygodzicach bezczynszowe
250 000 zł",250000.0,42.2,,Przygodzice,2025-05-07,
"Bolechowo. ul. Dworcowa
157 905 zł",157905.0,35.09,,Bolechowo Osiedle,2025-04-12,
"2 pokojowe mieszkanie na sprzedaż pod Wągrowcem
159 000 zł",159000.0,55.5,,Wągrowiec,2025-05-08,2
